"filename", "language", "C++", "Markdown", "Makefile", "CMake", "Shell Script", "Batch", "YAML", "HTML", "SCSS", "Python", "comment", "blank", "total"
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-matchers_test.h", "C++", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 26, 193
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-more-actions_test.cc", "C++", 1184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 253, 1618
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-nice-strict_test.cc", "C++", 351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 112, 542
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-port_test.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 6, 43
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-pp-string_test.cc", "C++", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 23, 206
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-pp_test.cc", "C++", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 84
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-spec-builders_test.cc", "C++", 1793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 349, 458, 2600
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_all_test.cc", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 2, 50
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_ex_test.cc", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 11, 81
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_leak_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 36, 15, 114
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_leak_test_.cc", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 22, 100
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_link2_test.cc", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 4, 39
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_link_test.cc", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 4, 39
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_link_test.h", "C++", 410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 117, 694
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_output_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 110, 8, 191
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_output_test_.cc", "C++", 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 65, 287
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_stress_test.cc", "C++", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 41, 228
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_test.cc", "C++", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 49, 180
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock_test_utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 53, 18, 92
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/CMakeLists.txt", "CMake", 0, 0, 0, 274, 0, 0, 0, 0, 0, 0, 0, 57, 331
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/README.md", "Markdown", 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 232
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/docs/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-assertion-result.h", "C++", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 29, 245
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-death-test.h", "C++", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 244, 33, 346
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-matchers.h", "C++", 552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 244, 128, 924
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-message.h", "C++", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 31, 252
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-param-test.h", "C++", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 388, 44, 603
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-printers.h", "C++", 786, 0, 0, 0, 0, 0, 0, 0, 0, 0, 323, 128, 1237
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-spi.h", "C++", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 27, 251
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-test-part.h", "C++", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 39, 193
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest-typed-test.h", "C++", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 44, 332
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest.h", "C++", 925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1052, 362, 2339
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest_pred_impl.h", "C++", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 35, 280
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/gtest_prod.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 6, 61
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/custom/README.md", "Markdown", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 45
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/custom/gtest-port.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 3, 38
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/custom/gtest-printers.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 3, 43
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/custom/gtest.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 3, 38
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-death-test-internal.h", "C++", 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 46, 307
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-filepath.h", "C++", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 40, 234
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-internal.h", "C++", 875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 424, 219, 1518
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-param-util.h", "C++", 701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 222, 142, 1065
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-port-arch.h", "C++", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 5, 125
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h", "C++", 1333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 826, 328, 2487
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-string.h", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 29, 179
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/include/gtest/internal/gtest-type-util.h", "C++", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 29, 221
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/samples/prime_tables.h", "C++", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 22, 126
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/samples/sample1.cc", "C++", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 11, 67
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/samples/sample1.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 6, 42
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/samples/sample10_unittest.cc", "C++", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 20, 139
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/samples/sample1_unittest.cc", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 19, 149
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/samples/sample2.cc", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 8, 55
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/samples/sample2.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 15, 80
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/samples/sample2_unittest.cc", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 15, 108
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/samples/sample3-inl.h", "C++", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 29, 172
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/samples/sample3_unittest.cc", "C++", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 17, 147
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/samples/sample4.cc", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 7, 51
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googletest/samples/sample4.h", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 8, 54
